ID,IP,type,parent
server,192.168.1.100,server,
room_1,192.168.1.101,pi,
room_2,offline,pi,
room_3,192.168.5.8,pi,
room_4,offline,pi,
room_5,192.168.5.5,pi,
room_6,192.168.5.19,pi,
room_7,192.168.5.17,pi,
room_8,offline,pi,
pump_1,192.168.5.15,pi,
pump_2,offline,pi,
heatpump_1,192.168.5.16,pi,
communication_node,offline,pi,
nano1,192.168.5.12,nano,room_1
nano2,192.168.5.10,nano,room_2
nano4,192.168.5.25,nano,room_4
nano5,192.168.5.22,nano,room_5
nano6,192.168.5.14,nano,room_6
nano7,192.168.5.13,nano,room_7
